game,series_id,year,sheet,event,series,team,map,round,is_offense,win_round,plant,earned_fb,cumu_w,cumu_l,pre_cumu_w,pre_cumu_l,max_cumu_w,starts_as_offense,win_series,is_offense_last_round,n_rounds
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),1,TRUE,TRUE,B,TRUE,1,0,0,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),1,FALSE,FALSE,B,FALSE,0,1,0,0,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),2,FALSE,TRUE,B,FALSE,2,0,1,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),2,TRUE,FALSE,B,TRUE,0,2,0,1,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),3,TRUE,TRUE,B,TRUE,3,0,2,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),3,FALSE,FALSE,B,FALSE,0,3,0,2,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),4,FALSE,TRUE,B,FALSE,4,0,3,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),4,TRUE,FALSE,B,TRUE,0,4,0,3,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),5,TRUE,TRUE,B,FALSE,5,0,4,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),5,FALSE,FALSE,B,TRUE,0,5,0,4,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),6,FALSE,FALSE,A,FALSE,5,1,5,0,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),6,TRUE,TRUE,A,TRUE,1,5,0,5,1,FALSE,FALSE,FALSE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Royal Ravens,Desert Siege - Vanguard (2022),7,TRUE,TRUE,A,TRUE,6,1,5,1,6,TRUE,TRUE,TRUE,7
Vanguard (2022),1,2022,Champs,2022 - Champs,1,Surge,Desert Siege - Vanguard (2022),7,FALSE,FALSE,A,FALSE,1,6,1,5,1,FALSE,FALSE,FALSE,7
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),1,FALSE,TRUE,B,FALSE,1,0,0,0,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),1,TRUE,FALSE,B,TRUE,0,1,0,0,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),2,TRUE,FALSE,A,TRUE,1,1,1,0,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),2,FALSE,TRUE,A,FALSE,1,1,0,1,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),3,FALSE,FALSE,B,FALSE,1,2,1,1,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),3,TRUE,TRUE,B,TRUE,2,1,1,1,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),4,TRUE,TRUE,NA,FALSE,2,2,1,2,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),4,FALSE,FALSE,NA,TRUE,2,2,2,1,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),5,FALSE,TRUE,NA,TRUE,3,2,2,2,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),5,TRUE,FALSE,NA,FALSE,2,3,2,2,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),6,TRUE,FALSE,NA,FALSE,3,3,3,2,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),6,FALSE,TRUE,NA,TRUE,3,3,2,3,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),7,FALSE,FALSE,A,FALSE,3,4,3,3,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),7,TRUE,TRUE,A,TRUE,4,3,3,3,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),8,TRUE,FALSE,NA,FALSE,3,5,3,4,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),8,FALSE,TRUE,NA,TRUE,5,3,4,3,6,TRUE,TRUE,TRUE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Royal Ravens,Berlin - Vanguard (2022),9,FALSE,FALSE,B,TRUE,3,6,3,5,3,FALSE,FALSE,FALSE,9
Vanguard (2022),2,2022,Champs,2022 - Champs,2,Surge,Berlin - Vanguard (2022),9,TRUE,TRUE,B,FALSE,6,3,5,3,6,TRUE,TRUE,TRUE,9
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),1,TRUE,FALSE,NA,TRUE,0,1,0,0,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),1,FALSE,TRUE,NA,FALSE,1,0,0,0,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),2,FALSE,FALSE,NA,FALSE,0,2,0,1,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),2,TRUE,TRUE,NA,TRUE,2,0,1,0,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),3,TRUE,TRUE,B,FALSE,1,2,0,2,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),3,FALSE,FALSE,B,TRUE,2,1,2,0,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),4,FALSE,FALSE,NA,FALSE,1,3,1,2,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),4,TRUE,TRUE,NA,TRUE,3,1,2,1,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),5,TRUE,TRUE,B,TRUE,2,3,1,3,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),5,FALSE,FALSE,B,FALSE,3,2,3,1,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),6,FALSE,TRUE,NA,TRUE,3,3,2,3,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),6,TRUE,FALSE,NA,FALSE,3,3,3,2,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),7,TRUE,TRUE,A,FALSE,4,3,3,3,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),7,FALSE,FALSE,A,TRUE,3,4,3,3,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),8,FALSE,FALSE,A,TRUE,4,4,4,3,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),8,TRUE,TRUE,A,FALSE,4,4,3,4,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),9,TRUE,FALSE,NA,FALSE,4,5,4,4,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),9,FALSE,TRUE,NA,TRUE,5,4,4,4,6,FALSE,TRUE,TRUE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Breach,Berlin - Vanguard (2022),10,FALSE,FALSE,NA,FALSE,4,6,4,5,4,TRUE,FALSE,FALSE,10
Vanguard (2022),3,2022,Champs,2022 - Champs,3,Thieves,Berlin - Vanguard (2022),10,TRUE,TRUE,NA,TRUE,6,4,5,4,6,FALSE,TRUE,TRUE,10
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),1,FALSE,FALSE,A,FALSE,0,1,0,0,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),1,TRUE,TRUE,A,TRUE,1,0,0,0,6,TRUE,TRUE,FALSE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),2,TRUE,FALSE,NA,FALSE,0,2,0,1,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),2,FALSE,TRUE,NA,TRUE,2,0,1,0,6,TRUE,TRUE,FALSE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),3,FALSE,TRUE,NA,TRUE,1,2,0,2,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),3,TRUE,FALSE,NA,FALSE,2,1,2,0,6,TRUE,TRUE,FALSE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),4,TRUE,TRUE,A,FALSE,2,2,1,2,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),4,FALSE,FALSE,A,TRUE,2,2,2,1,6,TRUE,TRUE,FALSE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),5,FALSE,FALSE,NA,FALSE,2,3,2,2,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),5,TRUE,TRUE,NA,TRUE,3,2,2,2,6,TRUE,TRUE,FALSE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Breach,Tuscan - Vanguard (2022),6,TRUE,TRUE,B,TRUE,3,3,2,3,5,FALSE,FALSE,TRUE,11
Vanguard (2022),4,2022,Champs,2022 - Champs,4,Thieves,Tuscan - Vanguard (2022),6,FALSE,FALSE,B,FALSE,3,3,3,2,6,TRUE,TRUE,FALSE,11
