min_sec,max_sec,opponent_diff,side_o
0,10,1.1711222940879396,-0.07062461996163008
2,12,1.0848125799378905,0.0027402863661977134
4,14,1.0411958322952783,0.02717031122877427
6,16,1.0341096558196363,-0.013227467661001665
8,18,1.066807698364059,-0.007774202098444782
10,20,1.0859667958379502,0.005897405807634856
12,22,1.0950281562555984,0.021173574709173335
14,24,1.1722231028493504,0.009428535169361162
16,26,1.238523393444601,0.018764348201832787
18,28,1.2855410867647372,0.03988062942070226
20,30,1.3084766716145009,0.04203774909587753
22,32,1.3441828533126412,0.04450882940850659
24,34,1.409221780915784,0.05740022847163168
26,36,1.408634074738393,0.07907870426142487
28,38,1.453877496533425,0.05679243144035724
30,40,1.4482410653183737,0.012356965552381603
30,37,1.4452019352429428,0.06977571649943225
31,38,1.4853696959481917,0.044830493783995395
32,39,1.4922342312661807,-0.01076789059409414
33,40,1.4783763224456252,-0.031127669324366652
34,41,1.4400436497404039,-0.048678924794304204
35,42,1.4248285701829806,-0.01498052048238272
36,43,1.4517014377478676,-0.022089665771150208
37,44,1.4525202311689094,-0.03231409644554135
38,45,1.4556396032757293,-0.0181480978431801
39,45,1.4355905119820958,-0.007399424583414064
40,45,1.4422450802732971,0.03735785348070471
41,45,1.4584431922013799,0.06897369586168241
42,45,1.5418702124604555,0.10669184529709866
43,45,1.5169307402318049,0.06974221506542064
44,45,1.5470590834298843,-0.01022494690306099
45,45,1.4836662206398,-0.016125003592029914
