term,estimate,std.error,statistic,p.value,min_sec,max_sec
opponent_diff,1.3280522563747135,0.044159667894560335,30.073873280607376,1.0643567160304424e-198,0,15
opponent_diff,1.3577507324022458,0.03368425956072153,40.30816619123458,0,3,18
opponent_diff,1.412410005680329,0.028146092087638352,50.18138934820915,0,6,21
opponent_diff,1.4557462777199741,0.024592548982382393,59.194607226881665,0,9,24
opponent_diff,1.4840687962873444,0.022552036069439733,65.8064217225338,0,12,27
opponent_diff,1.5283549099446379,0.02170811583875684,70.40477033091797,0,15,30
opponent_diff,1.5711730585759476,0.021456349731270655,73.22648438593016,0,18,33
opponent_diff,1.5949732120452378,0.021343836445160618,74.72757843432937,0,21,36
opponent_diff,1.6096165247694159,0.02139841464643655,75.22129799636643,0,24,39
opponent_diff,1.6374506239231557,0.021806820189257028,75.08892216802126,0,27,42
opponent_diff,1.6916537352256287,0.022709390980383957,74.49137392926366,0,30,45
opponent_diff,1.6327712308152735,0.02616513302705655,62.40255798152738,0,30,40
opponent_diff,1.6626788153125844,0.02683320845923792,61.96347402280814,0,32,42
opponent_diff,1.7070391376638032,0.02774970938243485,61.51556811417757,0,34,44
opponent_diff,1.7613221561745342,0.028874905924134803,60.99836864584728,0,36,46
opponent_diff,1.802507030461119,0.02985693985815852,60.371459333216876,0,38,48
opponent_diff,1.842559364751234,0.03090369110633111,59.62263078580139,0,40,50
opponent_diff,1.886120030385346,0.03211750709034836,58.725604857175995,0,42,52
opponent_diff,1.9180782291242504,0.03317298814046316,57.82048397336418,0,44,54
opponent_diff,1.9223873443166768,0.03385654512611234,56.78037546819886,0,46,56
opponent_diff,1.948524687366405,0.035137845946784804,55.45373186271538,0,48,58
opponent_diff,1.973358008972328,0.03658731230869498,53.93558270480991,0,50,60
opponent_diff,1.973358008972328,0.03658731230869498,53.93558270480991,0,50,60
opponent_diff,1.9981182991996391,0.03764437224498755,53.078805145055746,0,51,61
opponent_diff,2.0176808671888273,0.038600132400774576,52.27134576223213,0,52,62
opponent_diff,2.0254881050507767,0.03936749047699165,51.45078033954372,0,53,63
opponent_diff,2.029126279722272,0.040018540136697374,50.70465521208617,0,54,64
opponent_diff,2.0403559917530876,0.04096191464654321,49.811050322211294,0,55,65
opponent_diff,2.0657586236234518,0.04223122831927748,48.91542836513911,0,56,66
opponent_diff,2.080489907729428,0.04336503958447876,47.97620220492266,0,57,67
opponent_diff,2.092232171741873,0.04454992022195911,46.96376921255608,0,58,68
opponent_diff,2.1088731597703263,0.04600991149185948,45.835192709367604,0,59,69
opponent_diff,2.1274052680661706,0.047632656043166896,44.66274704770228,0,60,70
opponent_diff,2.143389705561239,0.04937421145030418,43.41111771918809,0,61,71
opponent_diff,2.159988610777888,0.05123923755003192,42.15497173760234,0,62,72
opponent_diff,2.1932999461460163,0.05376894683563297,40.79120152475266,0,63,73
opponent_diff,2.2288797582550033,0.056452166617261434,39.48262558931576,0,64,74
opponent_diff,2.270288704113056,0.05965237427476182,38.05864781938088,0,65,75
opponent_diff,2.2935444012547364,0.06251534240185457,36.687704380016264,1.1470763575892284e-294,66,76
opponent_diff,2.3196477013950436,0.0659456879880846,35.17512322889359,4.801729025320853e-271,67,77
opponent_diff,2.3266017355696094,0.06897366588491208,33.73173958089635,1.9807054352880886e-249,68,78
opponent_diff,2.3667511388123126,0.07350474887628264,32.19861539552826,1.845448567461753e-227,69,79
opponent_diff,2.389441279951963,0.07780742749458497,30.70968102779464,4.226748328477479e-207,70,80
opponent_diff,2.412021869766782,0.08237177463023843,29.28214040057037,1.751009094299757e-188,71,81
opponent_diff,2.437315662620983,0.08744117508735717,27.873775257320233,5.548994480219961e-171,72,82
opponent_diff,2.454061686644031,0.09276687797148456,26.45407218941205,3.2756335103281514e-154,73,83
opponent_diff,2.4355242957036696,0.09723939126063505,25.046683901749507,1.897306152646953e-138,74,84
opponent_diff,2.4280904422819525,0.10342605272492604,23.476584267793235,7.07647434767289e-122,75,85
opponent_diff,2.4933210443100866,0.12545510175140956,19.8742100520601,6.804916742403992e-88,75,80
opponent_diff,2.4643391582432863,0.13194491656826715,18.677029948086396,7.613943082704264e-78,76,81
opponent_diff,2.4181258893960087,0.13824943035442674,17.491036912027177,1.676784388021883e-68,77,82
opponent_diff,2.349506238258688,0.14285951451891105,16.446270632871794,8.919395221835187e-61,78,83
opponent_diff,2.3835778502907634,0.15651733120223812,15.228842914596536,2.2758365075205524e-52,79,84
opponent_diff,2.319483321960061,0.16522135750976646,14.038640990000054,9.043014904891025e-45,80,85
opponent_diff,2.294193695236846,0.17777496407168697,12.905043785083947,4.215758067421161e-38,81,86
opponent_diff,2.3152016431301385,0.2004380043644855,11.55071190451523,7.321147167374506e-31,82,87
opponent_diff,2.3171288971622688,0.22880609442545255,10.127041864775215,4.1913776156249444e-24,83,88
opponent_diff,2.4172589542690317,0.28330962865512016,8.532216027192005,1.4357063969830373e-17,84,89
opponent_diff,2.481893804738219,0.36046517102590686,6.885252735166039,5.768502917337467e-12,85,90
